"#","Dia","15","","","","","","","16","","","","","","","17","","","","","","","18","","","","","","","19","","","","","",""
"","Profesor/Hora","15","16","17","18","19","20","21","15","16","17","18","19","20","21","15","16","17","18","19","20","21","15","16","17","18","19","20","21","15","16","17","18","19","20","21"
"1","RRD","0","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","0","0","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","0","0"
"2","QYV","1","1","1","1","0","0","0","0","1","1","1","1","0","0","1","0","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"3","LHL","0","0","1","1","0","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","0","1","1","0","1","0","1"
"4","HLC","1","0","1","0","1","1","0","1","0","0","1","1","1","1","0","0","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1","1","1","0"
"5","MSB","1","1","0","1","0","1","1","1","1","1","0","1","1","1","1","0","1","1","0","1","1","0","1","1","1","0","1","1","1","0","1","1","1","1","0"
"6","PMQ","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","0","0","1","1","1","1","1","0","1","0","1"
"7","QWF","0","1","1","1","1","1","1","1","1","0","1","1","0","1","0","0","1","1","0","0","1","1","0","0","0","0","1","1","1","1","1","1","1","0","1"
"8","EBB","1","1","1","1","1","0","0","1","1","0","1","1","1","0","1","1","1","0","0","1","1","0","1","1","1","1","1","1","0","1","1","1","0","1","0"
"9","IOE","1","0","1","1","0","1","0","0","1","1","1","1","1","1","1","1","0","0","0","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1"
"10","IOA","1","1","0","1","1","0","1","1","0","0","0","0","0","1","1","1","0","0","1","1","1","1","0","0","1","1","1","1","1","1","1","0","0","0","1"
